,date,event,tour,surname,first_name,fin_pos,r1_score,r2_score,r3_score,r4_score,r5_score,score_tot,field_av,adj_r1_score,adj_r2_score,adj_r3_score,adj_r4_score,adj_r5_score,adj_av
511,29-Aug-1999,NEC Invitational,WGC,Harrington,Padraig,12,72,67,70,71,,280,69.8,71.5,66.5,70.2,68.0,,69.1
512,22-Aug-1999,BMW International Open,European,Harrington,Padraig,2,66,67,66,72,,271,73.4,67.0,68.7,68.8,74.3,,69.7
513,15-Aug-1999,West of Ireland Golf Classic,European,Harrington,Padraig,2,69,69,68,72,,278,74.7,71.6,69.5,69.2,74.8,,71.3
514,08-Aug-1999,Scandinavian Masters,European,Harrington,Padraig,21,73,69,69,72,,283,73.1,73.4,70.1,71.2,72.2,,71.7
515,01-Aug-1999,European Open,European,Harrington,Padraig,18,69,73,71,68,,281,72.8,69.7,73.3,72.1,69.6,,71.2
516,18-Jul-1999,British Open,European,Harrington,Padraig,29,77,74,74,74,,299,71.8,70.4,68.8,70.2,71.2,,70.2
517,11-Jul-1999,Loch Lomond,European,Harrington,Padraig,mc,73,73,,,,146,72.7,73.5,73.9,,,,73.7
518,04-Jul-1999,Irish Open,European,Harrington,Padraig,mc,70,74,,,,144,72.9,71.0,75.2,,,,73.1
519,27-Jun-1999,European Grand Prix,European,Harrington,Padraig,11,71,71,71,71,,284,73.2,71.4,71.7,70.2,71.0,,71.1
520,13-Jun-1999,German Open,European,Harrington,Padraig,6,69,70,69,70,,278,73.4,69.9,71.0,70.1,72.2,,70.8
521,30-May-1999,Volvo PGA Championship,European,Harrington,Padraig,56,74,70,72,73,,289,72.9,73.4,70.0,73.1,75.8,,73.1
522,23-May-1999,Deutsche Bank - SAP Open,European,Harrington,Padraig,38,73,73,70,73,,289,72.8,72.4,71.3,70.2,73.7,,71.9
523,16-May-1999,Benson and Hedges International Open,European,Harrington,Padraig,16,70,71,71,68,,280,72.9,70.5,72.9,72.5,69.5,,71.3
524,02-May-1999,Italian Open,European,Harrington,Padraig,2,68,66,68,70,,272,73.4,69.6,68.0,69.9,73.0,,70.1
525,25-Apr-1999,Open de Espana,European,Harrington,Padraig,54,71,68,75,69,,283,73.1,72.5,69.1,77.0,72.7,,72.9
526,28-Mar-1999,Madeira Island Open,European,Harrington,Padraig,4,73,71,66,71,,281,73.9,73.1,70.9,68.1,73.0,,71.3
527,14-Mar-1999,Turespana Masters,European,Harrington,Padraig,49,71,69,71,72,,283,73.3,73.0,71.2,74.2,75.1,,73.4
528,07-Mar-1999,Portuguese Open,European,Harrington,Padraig,74,74,73,77,75,,299,73.5,73.5,72.7,78.9,75.8,,75.2
529,21-Feb-1999,Qatar Masters,European,Harrington,Padraig,24,71,70,72,72,,285,72.9,71.0,71.7,72.5,72.3,,71.9
530,14-Feb-1999,Dubai Desert Classic,European,Harrington,Padraig,mc,72,76,,,,148,72.7,71.3,75.5,,,,73.4
531,07-Feb-1999,Malaysian Open,Asian PGA,Harrington,Padraig,4,70,73,70,71,,284,73.6,69.1,72.8,71.2,71.5,,71.2
532,31-Jan-1999,Heineken Classic,Australasian,Harrington,Padraig,51,71,73,74,69,,287,73.3,72.1,72.9,75.9,70.6,,72.9
533,08-Nov-1998,Sarazen World Open,PGA,Harrington,Padraig,13,70,73,67,75,,285,72.7,68.4,71.8,66.7,73.9,,70.2
534,01-Nov-1998,Volvo Masters,European,Harrington,Padraig,16,70,69,70,72,,281,72.0,70.7,69.1,71.0,71.5,,70.6
535,04-Oct-1998,Belgacom Open,European,Harrington,Padraig,21,74,68,67,67,,276,73.6,76.4,69.6,70.5,71.1,,71.9
536,27-Sep-1998,German Masters,European,Harrington,Padraig,8,69,64,67,72,,272,72.8,71.2,66.9,70.4,75.0,,70.9
537,20-Sep-1998,Trophee Lancome,European,Harrington,Padraig,mc,74,74,,,,148,72.7,74.8,74.6,,,,74.7
538,13-Sep-1998,British Masters,European,Harrington,Padraig,mc,74,73,,,,147,73.1,73.3,73.3,,,,73.3
539,06-Sep-1998,European Masters,European,Harrington,Padraig,30,70,69,65,73,,277,73.4,71.8,71.6,69.1,76.6,,72.3
540,23-Aug-1998,European Open,European,Harrington,Padraig,23,71,74,74,73,,292,73.2,68.1,72.2,73.8,72.1,,71.5
541,09-Aug-1998,German Open,European,Harrington,Padraig,2,73,69,70,69,,281,73.8,72.7,68.9,72.2,69.0,,70.7
